ID,lexiconId,DisplayText,ThemePackId,CategoryTag,Weight,EffectId,notes
1,101001,开天辟地,1,1,1.0,0,
2,101002,补天浴日,1,1,1.0,0,
3,101003,夸父追日,1,1,1.0,0,
4,101004,精卫填海,1,1,1.0,0,
5,101005,后羿射日,1,1,1.0,0,
6,101006,嫦娥奔月,1,1,1.0,0,
7,101007,过门不入,1,1,1.0,0,
8,101008,八仙过海,1,1,1.0,0,
9,101009,画龙点睛,1,1,1.0,0,
10,101010,天衣无缝,1,1,1.0,0,
11,101011,腾云驾雾,1,1,1.0,0,
12,101012,点石成金,1,1,1.0,0,
13,101013,返老还童,1,1,1.0,0,
14,101014,移山倒海,1,1,1.0,0,
15,101015,呼风唤雨,1,1,1.0,0,
16,101016,神出鬼没,1,1,1.0,0,
17,101017,鬼斧神工,1,1,1.0,0,
18,101018,麻姑献寿,1,1,1.0,0,
19,101019,羽化登仙,1,1,1.0,0,
20,101020,炼石补天,1,1,1.0,0,
21,101021,顶天立地,1,1,1.0,0,
22,101022,龙凤呈祥,1,1,1.0,0,
23,101023,龙飞凤舞,1,1,1.0,0,
24,101024,龙马精神,1,1,1.0,0,
25,101025,乘龙快婿,1,1,1.0,0,
26,101026,鹊桥相会,1,1,1.0,0,
27,101027,吴刚伐桂,1,1,1.0,0,
28,101028,蟾宫折桂,1,1,1.0,0,
29,101029,福如东海,1,1,1.0,0,
30,101030,寿比南山,1,1,1.0,0,
31,101031,沧海桑田,1,1,1.0,0,
32,101032,烂柯忘归,1,1,1.0,0,
33,101033,三头六臂,1,1,1.0,0,
34,101034,火眼金睛,1,1,1.0,0,
35,101035,千变万化,1,1,1.0,0,
36,101036,攀龙附凤,1,1,1.0,0,
37,101037,潜龙在渊,1,1,1.0,0,
38,101038,仙风道骨,1,1,1.0,0,
39,101039,飘飘欲仙,1,1,1.0,0,
40,101040,海市蜃楼,1,1,1.0,0,
41,101041,金风玉露,1,1,1.0,0,
42,101042,牛郎织女,1,1,1.0,0,
43,101043,金乌玉兔,1,1,1.0,0,
44,101044,日月参商,1,1,1.0,0,
45,101045,云开见日,1,1,1.0,0,
46,101046,拨云见日,1,1,1.0,0,
47,101047,电闪雷鸣,1,1,1.0,0,
48,101048,风驰电掣,1,1,1.0,0,
49,101049,雷厉风行,1,1,1.0,0,
50,101050,龙争虎斗,1,1,1.0,0,
51,101051,龙潭虎穴,1,1,1.0,0,
52,101052,如虎添翼,1,1,1.0,0,
53,101053,凤鸣朝阳,1,1,1.0,0,
54,101054,麒麟之才,1,1,1.0,0,
55,101055,东床坦腹,1,1,1.0,0,
56,101056,混沌初开,1,1,1.0,0,
57,101057,天地玄黄,1,1,1.0,0,
58,101058,伏羲画卦,1,1,1.0,0,
59,101059,龙肝凤髓,1,1,1.0,0,
60,101060,真龙天子,1,1,1.0,0,
61,101061,天神地祇,1,1,1.0,0,
62,101062,天罗地网,1,1,1.0,0,
63,101063,天花乱坠,1,1,1.0,0,
